"","lon","lat","Dataset","Loc_ID","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ELONG","ISL_LS","ISL_ST","ISL_DIS","HABITAT","REALM","REALM_PK","DAT_TYPE","Source"
"282",-70.115,-12.555,"CoelhodeSouza_Amazon","LAS-01",0.02,137,1112,10,34581,13964.6669921875,25,25.8,74,377,46,72,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"283",-70.095,-12.565,"CoelhodeSouza_Amazon","LAS-02",0.01,179,650,10,34474,13856.6669921875,25,25.8,74,375,45,53,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"284",-70.085,-12.525,"CoelhodeSouza_Amazon","LAS-03",0.02,280,1334,10,33003,12958.5830078125,24.9,25.8,73,366,46,38,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"285",-75.165,9.965,"CoelhodeSouza_Amazon","LCL-01",0.001,29,54,10,25033,10506.5830078125,27.1,27.6,77,117,52,140,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"286",-60.825,-14.575,"CoelhodeSouza_Amazon","LFB-01",0.01,106,899,10,26044,14523.3330078125,23.9,25,69,64,69,22,1,"mainland","mainland","mainland","Tropical and Subtropical Dry Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"287",-67.085,2.065,"CoelhodeSouza_Amazon","LJV-01",0.001,38,88,10,23293,10508.4169921875,26.2,26.6,92,602,26,22,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"288",-54.745,4.265,"CoelhodeSouza_Amazon","LMS-01",0.01,117,638,10,24324,12187.8330078125,23.5,24.5,76,288,43,302,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"289",-54.745,4.255,"CoelhodeSouza_Amazon","LMS-02",0.01,105,494,10,24675,12417.25,23.1,24.1,76,290,43,80,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"290",-54.745,4.265,"CoelhodeSouza_Amazon","LMS-03",0.01,117,601,10,24789,12571.5830078125,22.9,23.9,75,290,43,80,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"291",-54.725,4.255,"CoelhodeSouza_Amazon","LMS-04",0.01,107,524,10,24921,12433.1669921875,24,24.9,76,285,43,183,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
